IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.219.111.147,2083,TRUE,SIN,Asia Pacific,Singapore,230 ms,4.73046875
47.237.121.38,8443,TRUE,SIN,Asia Pacific,Singapore,237 ms,4.73046875
47.237.84.173,2096,TRUE,SIN,Asia Pacific,Singapore,231 ms,4.728515625
8.210.207.214,8443,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,4.708007813
47.76.26.26,2087,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,4.703125
8.218.1.163,2096,TRUE,HKG,Asia Pacific,Hong Kong,70 ms,4.63671875
47.242.157.96,2087,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,4.6328125
47.236.202.91,2087,TRUE,SIN,Asia Pacific,Singapore,213 ms,4.608398438
47.236.232.148,2087,TRUE,SIN,Asia Pacific,Singapore,218 ms,4.58984375
47.76.227.128,2053,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,4.571289063
8.219.86.200,8443,TRUE,SIN,Asia Pacific,Singapore,220 ms,4.555664063
47.237.8.82,2053,TRUE,SIN,Asia Pacific,Singapore,222 ms,4.5546875
8.222.134.170,2087,TRUE,SIN,Asia Pacific,Singapore,216 ms,4.552734375
47.236.253.41,2053,TRUE,SIN,Asia Pacific,Singapore,224 ms,4.530273438
47.236.164.215,2053,TRUE,SIN,Asia Pacific,Singapore,217 ms,4.5234375
8.219.113.232,2087,TRUE,SIN,Asia Pacific,Singapore,239 ms,4.5078125
8.210.65.1,2087,TRUE,HKG,Asia Pacific,Hong Kong,55 ms,4.5078125
47.236.117.48,443,TRUE,SIN,Asia Pacific,Singapore,230 ms,4.493164063
47.237.121.38,2087,TRUE,SIN,Asia Pacific,Singapore,225 ms,4.489257813
47.236.202.91,8443,TRUE,SIN,Asia Pacific,Singapore,494 ms,4.486328125
47.236.253.41,2096,TRUE,SIN,Asia Pacific,Singapore,235 ms,4.477539063
8.222.137.192,2087,TRUE,SIN,Asia Pacific,Singapore,246 ms,4.469726563
8.222.208.38,2083,TRUE,SIN,Asia Pacific,Singapore,221 ms,4.463867188
47.236.202.91,2053,TRUE,SIN,Asia Pacific,Singapore,498 ms,4.452148438
47.237.95.156,2053,TRUE,SIN,Asia Pacific,Singapore,219 ms,4.452148438
8.222.208.38,2087,TRUE,SIN,Asia Pacific,Singapore,230 ms,4.43359375
8.219.177.205,2096,TRUE,SIN,Asia Pacific,Singapore,216 ms,4.413085938
8.218.1.163,2087,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,4.41015625
47.236.237.90,2096,TRUE,SIN,Asia Pacific,Singapore,221 ms,4.409179688
47.236.102.102,2053,TRUE,SIN,Asia Pacific,Singapore,234 ms,4.405273438
47.236.117.48,2083,TRUE,SIN,Asia Pacific,Singapore,223 ms,4.311523438
8.222.208.38,2096,TRUE,SIN,Asia Pacific,Singapore,213 ms,4.270507813
47.236.145.85,443,TRUE,SIN,Asia Pacific,Singapore,228 ms,4.265625
47.76.77.103,2053,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,4.213867188
47.237.11.182,2053,TRUE,SIN,Asia Pacific,Singapore,223 ms,4.203125
47.236.237.90,2087,TRUE,SIN,Asia Pacific,Singapore,232 ms,4.19921875
47.236.167.231,2083,TRUE,SIN,Asia Pacific,Singapore,228 ms,4.190429688
47.76.33.40,2087,TRUE,HKG,Asia Pacific,Hong Kong,102 ms,4.184570313
47.237.84.173,8443,TRUE,SIN,Asia Pacific,Singapore,222 ms,4.146484375
8.219.177.205,8443,TRUE,SIN,Asia Pacific,Singapore,211 ms,4.139648438
47.236.130.95,2087,TRUE,SIN,Asia Pacific,Singapore,225 ms,4.135742188
47.236.80.110,8443,TRUE,SIN,Asia Pacific,Singapore,211 ms,4.098632813
47.236.130.95,443,TRUE,SIN,Asia Pacific,Singapore,233 ms,4.095703125
8.222.137.192,2053,TRUE,SIN,Asia Pacific,Singapore,213 ms,3.985351563
47.238.36.145,80,TRUE,SIN,Asia Pacific,Singapore,56 ms,3.97265625
47.76.33.40,2096,TRUE,HKG,Asia Pacific,Hong Kong,91 ms,3.91796875
47.236.202.91,2096,TRUE,SIN,Asia Pacific,Singapore,501 ms,3.892578125
47.76.178.146,2053,TRUE,HKG,Asia Pacific,Hong Kong,56 ms,3.890625
47.238.52.160,80,TRUE,SIN,Asia Pacific,Singapore,59 ms,3.874023438
47.236.237.90,2053,TRUE,SIN,Asia Pacific,Singapore,234 ms,3.8671875
47.236.130.95,2053,TRUE,SIN,Asia Pacific,Singapore,220 ms,3.82421875
47.238.36.250,80,TRUE,SIN,Asia Pacific,Singapore,55 ms,3.821289063
47.76.254.36,80,TRUE,SIN,Asia Pacific,Singapore,59 ms,3.797851563
47.242.157.96,2083,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,3.780273438
47.239.13.168,80,TRUE,SIN,Asia Pacific,Singapore,55 ms,3.7734375
47.236.117.48,2087,TRUE,SIN,Asia Pacific,Singapore,241 ms,3.768554688
8.219.111.175,8443,TRUE,SIN,Asia Pacific,Singapore,219 ms,3.754882813
8.219.193.202,2087,TRUE,SIN,Asia Pacific,Singapore,222 ms,3.74609375
47.236.167.231,2087,TRUE,SIN,Asia Pacific,Singapore,228 ms,3.743164063
8.217.66.3,2096,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,3.741210938
47.236.253.41,2083,TRUE,SIN,Asia Pacific,Singapore,230 ms,3.73828125
47.236.117.48,2053,TRUE,SIN,Asia Pacific,Singapore,227 ms,3.719726563
47.236.167.231,8443,TRUE,SIN,Asia Pacific,Singapore,221 ms,3.717773438
8.219.248.47,2083,TRUE,SIN,Asia Pacific,Singapore,224 ms,3.708984375
47.236.253.41,8443,TRUE,SIN,Asia Pacific,Singapore,225 ms,3.698242188
8.218.1.163,8443,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,3.655273438
8.218.132.209,80,TRUE,SIN,Asia Pacific,Singapore,64 ms,3.520507813
8.222.208.38,8443,TRUE,SIN,Asia Pacific,Singapore,225 ms,3.501953125
47.236.145.85,2087,TRUE,SIN,Asia Pacific,Singapore,223 ms,3.426757813
47.236.80.110,2083,TRUE,SIN,Asia Pacific,Singapore,220 ms,3.3828125
47.238.6.58,8443,TRUE,HKG,Asia Pacific,Hong Kong,68 ms,3.380859375
8.210.65.1,2083,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,3.368164063
8.219.248.47,2053,TRUE,SIN,Asia Pacific,Singapore,227 ms,3.338867188
47.236.80.110,2096,TRUE,SIN,Asia Pacific,Singapore,223 ms,3.288085938
47.76.243.157,80,TRUE,SIN,Asia Pacific,Singapore,56 ms,3.239257813
47.245.118.70,2083,TRUE,SIN,Asia Pacific,Singapore,244 ms,3.16015625
47.76.77.103,2087,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,3.111328125
47.236.170.225,2053,TRUE,SIN,Asia Pacific,Singapore,216 ms,3.088867188
47.236.80.110,2087,TRUE,SIN,Asia Pacific,Singapore,223 ms,3.05859375
47.236.202.91,2083,TRUE,SIN,Asia Pacific,Singapore,500 ms,3.045898438
8.219.68.162,443,TRUE,SIN,Asia Pacific,Singapore,221 ms,3.02734375
47.236.180.51,2053,TRUE,SIN,Asia Pacific,Singapore,226 ms,2.946289063
47.243.42.219,2087,TRUE,HKG,Asia Pacific,Hong Kong,68 ms,2.8359375
8.219.193.202,2096,TRUE,SIN,Asia Pacific,Singapore,234 ms,2.717773438
47.242.157.96,2096,TRUE,HKG,Asia Pacific,Hong Kong,73 ms,2.646484375
47.236.145.85,2053,TRUE,SIN,Asia Pacific,Singapore,223 ms,2.564453125
47.236.167.231,2053,TRUE,SIN,Asia Pacific,Singapore,222 ms,2.485351563
47.236.180.51,2096,TRUE,SIN,Asia Pacific,Singapore,214 ms,2.391601563
47.236.180.51,2087,TRUE,SIN,Asia Pacific,Singapore,234 ms,2.30859375
47.245.118.70,2087,TRUE,SIN,Asia Pacific,Singapore,229 ms,2.305664063
47.76.178.146,2083,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,2.274414063
47.242.202.230,2083,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,2.267578125
47.238.44.224,80,TRUE,SIN,Asia Pacific,Singapore,59 ms,2.250976563
47.236.170.225,2083,TRUE,SIN,Asia Pacific,Singapore,216 ms,2.142578125
47.236.145.85,8443,TRUE,SIN,Asia Pacific,Singapore,223 ms,2.099609375
47.239.12.227,80,TRUE,SIN,Asia Pacific,Singapore,63 ms,2.086914063
47.76.214.139,2096,TRUE,HKG,Asia Pacific,Hong Kong,88 ms,2.0703125
47.236.145.85,2096,TRUE,SIN,Asia Pacific,Singapore,232 ms,2.029296875
47.236.180.51,2083,TRUE,SIN,Asia Pacific,Singapore,219 ms,2.020507813
47.242.157.96,8443,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,2.017578125
47.236.180.51,8443,TRUE,SIN,Asia Pacific,Singapore,238 ms,1.94921875
47.242.202.230,2087,TRUE,HKG,Asia Pacific,Hong Kong,53 ms,1.927734375
47.76.33.40,2053,TRUE,HKG,Asia Pacific,Hong Kong,109 ms,1.912109375
47.238.35.50,2096,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,1.850585938
8.217.127.73,8443,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,1.817382813
47.236.170.225,8443,TRUE,SIN,Asia Pacific,Singapore,220 ms,1.692382813
